date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:05:09	179/179	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2022:05:09%20GMT	https://nftinstaconnect.com/robots.txt		(from )
23:05:09	100344/100344	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Jun%202022%2022:05:09%20GMT	https://nftinstaconnect.com/	C:/nftinstaconnect/nftinstaconnect.com/index.html	(from )
23:05:13	112600/112600	---M-Z	200	added ('OK')	text/css	etag:%22b2176381aca52ae1f4aa086994389a5a%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/css/flow-com.webflow.c862838a9.min.css	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/css/flow-com.webflow.c862838a9.min.css	(from https://nftinstaconnect.com/)
23:05:15	52076/52076	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2022%20Jun%202022%2022:05:15%20GMT	https://use.typekit.net/mgu2ukv.js	C:/nftinstaconnect/use.typekit.net/mgu2ukv.js	(from https://nftinstaconnect.com/)
23:05:15	1997/1997	---M--	200	added ('OK')	image/png	etag:%22b01032661a32879179d174e57a431f09%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/616b1520779838b5f9174363_favicon.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/616b1520779838b5f9174363_favicon.png	(from https://nftinstaconnect.com/)
23:05:18	51769/51769	---M--	200	added ('OK')	image/png	etag:%229fe7585ef8aee0729fa0e4510b18b39c%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/616b1548fd01d005fc2bc2c7_logo256.png	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/616b1548fd01d005fc2bc2c7_logo256.png	(from https://nftinstaconnect.com/)
23:05:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Jun%202022%2022:05:20%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/nftinstaconnect/www.googletagmanager.com/gtm.45445.delayed	(from https://nftinstaconnect.com/)
23:05:22	179/179	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2022:05:22%20GMT	https://nftinstaconnect.com/sustainability	C:/nftinstaconnect/nftinstaconnect.com/sustainability.5.delayed	(from https://nftinstaconnect.com/)
23:05:22	179/179	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2022:05:22%20GMT	https://nftinstaconnect.com/ecosystemsupport	C:/nftinstaconnect/nftinstaconnect.com/ecosystemsupport	(from https://nftinstaconnect.com/)
23:05:23	179/179	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jun%202022%2022:05:23%20GMT	https://nftinstaconnect.com/cdn-cgi/l/email-protection	C:/nftinstaconnect/nftinstaconnect.com/cdn-cgi/l/email-protection	(from https://nftinstaconnect.com/)
23:05:24	45015/45015	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jun%202022%2022:05:24%20GMT	https://nftinstaconnect.com/wallets/	C:/nftinstaconnect/nftinstaconnect.com/wallets/index.html	(from https://nftinstaconnect.com/)
23:05:24	6715/6715	---M--	200	added ('OK')	image/jpeg	etag:%22132b9ce6dccc6184510153996d9616a7%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6275a1b26652422ad40026ef_ftx%202%20(1).jpg	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/6275a1b26652422ad40026ef_ftx%202%20(1).jpg	(from https://nftinstaconnect.com/)
23:05:25	10333/10333	---M--	200	added ('OK')	image/jpeg	etag:%22d4b97b1a6cfa5091b42d1af7a4e6d802%22	https://assets.website-files.com/5f734f4dbd95382f4fdfa0ea/62759c129316e0f0ecb868fc_Group%20876.jpg	C:/nftinstaconnect/assets.website-files.com/5f734f4dbd95382f4fdfa0ea/62759c129316e0f0ecb868fc_Group%20876.jpg	(from https://nftinstaconnect.com/)
23:05:26	14302/14302	---M-Z	200	added ('OK')	text/html	date:Wed,%2022%20Jun%202022%2022:05:26%20GMT	https://nftinstaconnect.com/verify/	C:/nftinstaconnect/nftinstaconnect.com/verify/index.html	(from https://nftinstaconnect.com/)
